row	Oksa_n362	Li194_n194	Li95_n95	COG552_n552	Local115	TARGET_P_BALL_n191	evidence_category	allowed_claim	forbidden_claim
primary adverse-response state (Oksa slow vs Li C1)	source of the slow-vs-fast EOI contrast (supervised, 3-level response)	source of the C1-vs-C2 contrast (unsupervised, 252 genes)	our re-analysis: rho 0.818 vs Oksa (48 genes), 95.8% concordance, perm P 5e-5	not usable (no expression deposited)	no transcriptome — cannot contribute	general-B-ALL benchmark only	PRIMARY_CROSS_COHORT_CORRESPONDENCE	"the two independently derived adverse-response contrasts correspond gene by gene within the shared feature space"	"validated", "replicated", "genome-wide", "a signature"
frozen 219-gene primary result	219 genes, double ascertainment, rho 0.794, 86.8% concordance, bootstrap CI 0.735-0.839	219 genes	24 of the 219 are measurable; rho 0.681, 91.7% concordance	not applicable	not applicable	113 of the 219; gene-matched rho 0.828 vs 0.380/0.416	PRIMARY_CROSS_COHORT_CORRESPONDENCE (conditional on selected genes)	"restricted to 219 genes; conditional on two independently selected gene sets; not genome-wide"	"transcriptome-wide", "unbiased"
Tier-1 candidate genes (SHE GATA2 MID1 MPV17L ANPEP SERPINI2 UCK2)	7 genes with Oksa coefficients and FDR	none significant on the Li194 side	4 of 7 measurable; all 4 direction-matched and BH-significant (GATA2 q 2.7e-10, ANPEP 1.2e-8, SHE 5.8e-8, MPV17L 1.1e-6); MID1/SERPINI2/UCK2 not in panel	not usable	no expression data	3 shared-B-ALL / 3 ETV6-enriched / 1 not assessable	HYPOTHESIS_GENERATING (with INDEPENDENT_MOLECULAR_TRIANGULATION for the 4 measurable genes)	"candidate genes"; "direction reproduced in the published validation cohort"	"biomarkers", "signature", "predictors", "validated markers"
maturation: CD34 / HSC-like axis	GATA2 higher in slow (coef +2.33, FDR 0.017)	GATA2 higher in C1 (+1.49)	GATA2 higher in C1 (+2.94, q 2.7e-10)	not usable	CD34 % higher in poor D19 MRD (median 86.0 vs 63.9; HL +17.2, CI -1.7 to 39.0; P 0.184)	not measured	INDEPENDENT_PHENOTYPIC_TRIANGULATION + INDEPENDENT_MOLECULAR_TRIANGULATION	"GATA2 transcript is higher in the adverse state in all three cohorts where it was measured; CD34 surface protein is directionally higher in poor responders locally"	"local CD34 proves GATA2 is altered locally", "mechanistic link"
maturation: CD38 / pro-B axis	CD38 lower in slow (coef -1.02)	not in the 252-gene discovery panel	CD38 lower in C1 (-1.501, q 4.2e-9)	not usable	CD38 % lower in poor D19 MRD (median 31.6 vs 86.3; HL -36.2, CI -80.6 to -9.0; P 0.057)	not measured	INDEPENDENT_PHENOTYPIC_TRIANGULATION + INDEPENDENT_MOLECULAR_TRIANGULATION	"CD38 is lower in the adverse state at transcript level (Li95) and at protein level locally (direction consistent)"	"CD38 is a validated discriminator", "CD38 predicts MRD"
age phenotype	not reported in this form	published: C1 older	our re-tabulation: age>=5 OR 2.83 (1.16-6.91) P 0.031 for C1	not usable	null: OR 0.875 (0.32-2.36) P 1.00 vs poor D19 MRD	not tested	INDEPENDENT_VALIDATION_CONTEXT (Li95) / NOT_SUPPORTED (local)	"the older-age phenotype reproduces in Li95; it does not reproduce locally"	"age is a risk factor", "consistent across all cohorts"
WBC phenotype	not reported in this form	published: C2 higher WBC	our re-tabulation: WBC>=50 OR 0.28 (0.10-0.80) P 0.027 for C1	not usable	direction consistent but not significant: 0/23 poor vs 5/87 good, P 0.582	not tested	INDEPENDENT_VALIDATION_CONTEXT (Li95) / HYPOTHESIS_GENERATING (local)	"direction consistent with Li95; underpowered locally"	"WBC predicts MRD response"
drug phenotype (20 agents)	no drug screen	source of the ex vivo LC50 screen	no drug screen	not usable	no drug screen	not applicable	PHARMACOLOGICAL_ANNOTATION	"the convergent state is annotated by relative resistance to mercaptopurine, thioguanine and prednisolone after BH correction; 17 of 20 agents were not significant"	"mechanism of resistance", "independent pharmacological validation", "drug repurposing evidence"
complex karyotype	not comparable (sequencing-based CN)	not comparable	not reported	not usable	exploratory: scored n 78, complex n 6, OR 9.08 (1.50-54.94) P 0.018	not comparable	HYPOTHESIS_GENERATING	"single-centre exploratory observation; era-confounded; borrowed >=5 threshold untested in this subtype"	"prognostic factor", "risk marker", "validated cytogenetic predictor"
late relapse	timings reported in the source paper	not reported	not reported	not usable	5 relapses; 2 at 18-<36 mo, 3 at >=36 mo (1 at >=60 mo); landmark densities 1.07 and 0.47 per 100 person-years	not comparable	HYPOTHESIS_GENERATING (supplementary)	"counts and conditional incidence densities; recent eras not evaluable"	"late relapse rate", "no relapse in recent eras = better outcome"
general-B-ALL comparison	rho 0.380 vs TARGET (113 genes)	rho 0.416 vs TARGET (113 genes)	not tested	not usable	not applicable	general-B-ALL poor vs good response, n 191	GENERAL_BALL_SUPPORTIVE_CONTEXT	"on an identical 113-gene set the two ETV6::RUNX1 contrasts correspond with each other (rho 0.828) more strongly than either does with a general-B-ALL contrast (0.380 / 0.416); delta-rho 0.448 (0.272-0.632)"	"ETV6::RUNX1-specific", "formal interaction test", "specificity proven"
in silico perturbation (Round 3B)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NOT_ASSESSABLE (inconclusive)	"a pre-specified virtual-knockout screen did not meet its robustness criteria and was not used as evidence"	"functional validation", "causal", "therapeutic target"
